[17:50:43] [info] VEKTOR: GLFW Window hints set
[17:50:45] [trace] VEKTOR: Delta time: 0.01054728 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0058659315 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.010988712 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0067762136 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.009715557 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011542916 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.005155325 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.013153315 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.020375133 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0053275824 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011271238 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.006167412 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.010479927 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0059973 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.010614276 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.005650282 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011230826 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.005383253 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011071086 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.006390214 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.010125756 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.006301284 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.010388732 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0059252977 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.010763645 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0062646866 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.010442615 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0059996843 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.010596156 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.005604744 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011041284 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.005202532 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0114706755 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0053653717 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011310339 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0056643486 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.010945797 seconds
[17:50:45] [trace] VEKTOR: Event received: MouseButtonPressedEvent: 0
[17:50:45] [trace] VEKTOR: Delta time: 0.0066218376 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0101059675 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0057110786 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.010952473 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.005155802 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011466622 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0053123236 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011407852 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0057100058 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.010940552 seconds
[17:50:45] [trace] VEKTOR: Event received: MouseButtonReleasedEvent: 0
[17:50:45] [trace] VEKTOR: Delta time: 0.0054055452 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0111682415 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0049926043 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011705995 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.004899144 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011765718 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0054432154 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011116385 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.004493594 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.01219213 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.005065322 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011620522 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.005310893 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011336565 seconds
[17:50:45] [trace] VEKTOR: Event received: KeyPressedEvent: 65 (0 repeats)
[17:50:45] [trace] VEKTOR: Event received: KeyTypedEvent: 97
[17:50:45] [trace] VEKTOR: Delta time: 0.11379421 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0072944164 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.012205601 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0046453476 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.012013555 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0048229694 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011841774 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0049648285 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011696935 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0047388077 seconds
[17:50:45] [trace] VEKTOR: Event received: KeyPressedEvent: 83 (0 repeats)
[17:50:45] [trace] VEKTOR: Event received: KeyTypedEvent: 115
[17:50:45] [trace] VEKTOR: Delta time: 0.011935234 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.00406301 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.012593627 seconds
[17:50:45] [trace] VEKTOR: Event received: KeyReleasedEvent: 65
[17:50:45] [trace] VEKTOR: Delta time: 0.0047205687 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011910558 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.004194379 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.012536764 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0053516626 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.011251211 seconds
[17:50:45] [trace] VEKTOR: Delta time: 0.0040824413 seconds
